ID	TIPO	CHEGADA	TEMPO_ESPERA	TEMPO_SERVICO	SAIDA	PASSO	SERVIDOR
274	REGULAR	0,29429	1,58939	0,02891	1,91259	AppServerRequest	AppServerRequest1
274	REGULAR	1,91259	210,16418	0,03420	212,11097	AppServerResponse	AppServerResponse1
275	REGULAR	0,29429	1,61830	0,00096	1,91355	AppServerRequest	AppServerRequest1
275	REGULAR	1,91355	211,81572	0,00628	213,73555	AppServerResponse	AppServerResponse1
276	SIMPLES	0,29462	1,61893	0,00020	1,91376	AppServerRequest	AppServerRequest1
276	SIMPLES	1,91376	213,44073	0,00113	215,35561	AppServerResponse	AppServerResponse1
277	REGULAR	0,29761	1,61615	0,00083	1,91458	AppServerRequest	AppServerRequest1
277	REGULAR	1,91458	215,05717	0,01653	216,98828	AppServerResponse	AppServerResponse1
278	SIMPLES	0,30044	1,61415	0,00209	1,91667	AppServerRequest	AppServerRequest1
278	SIMPLES	1,91667	216,68576	0,00219	218,60462	AppServerResponse	AppServerResponse1
